Date, Open, High, Low, Close
10/15/21, 230.6900, 231.1600, 230.2700, 230.7300
10/14/21, 227.7100, 229.4300, 227.5000, 229.3700
10/13/21, 225.1700, 226.0300, 223.6500, 225.6200
10/12/21, 225.3100, 225.7000, 224.1600, 224.6000
10/11/21, 226.0700, 227.5900, 224.6800, 224.7600
10/08/21, 227.4000, 227.5516, 226.0200, 226.3900
10/07/21, 226.5000, 228.3600, 226.1100, 226.8900
10/06/21, 221.8900, 224.8100, 220.9800, 224.7300
10/05/21, 222.4300, 224.9850, 222.1000, 223.8000
10/04/21, 224.2400, 224.4000, 220.5417, 221.7300
10/01/21, 223.1000, 225.6300, 221.0200, 225.1200
09/30/21, 225.3500, 228.4000, 221.9400, 222.0600
09/29/21, 225.2200, 225.9900, 224.2800, 224.4900
09/28/21, 227.6500, 227.7900, 224.0500, 224.3400
09/27/21, 229.1600, 229.8700, 228.5100, 229.1400
09/24/21, 228.5500, 229.9450, 228.1921, 229.6400
09/23/21, 228.4400, 230.9450, 228.0500, 230.0900
09/22/21, 226.3300, 228.4300, 225.8300, 227.3200
09/21/21, 226.5100, 227.0300, 224.4619, 225.0500
09/20/21, 225.5100, 226.3080, 222.3100, 225.0700
09/17/21, 230.5400, 230.8300, 228.6500, 229.0400
09/16/21, 230.9400, 231.5200, 229.3000, 230.8900
09/15/21, 229.4200, 231.3400, 228.7150, 231.1000
09/14/21, 231.4100, 231.4900, 228.6201, 229.2100
09/13/21, 231.5100, 231.7353, 229.3300, 230.6000
09/10/21, 233.0300, 233.1900, 229.9600, 230.0800
09/09/21, 232.6700, 233.6500, 231.7500, 231.9200
09/08/21, 233.0100, 233.2600, 231.5900, 232.7300
09/07/21, 234.2900, 234.2999, 233.0200, 233.2800
09/03/21, 234.0000, 234.5000, 233.6300, 234.2900
09/02/21, 234.3100, 234.6500, 233.6800, 234.3700
09/01/21, 233.8200, 234.2100, 233.2500, 233.5800
08/31/21, 233.5600, 233.6300, 232.7700, 233.1700
08/30/21, 233.2200, 233.9650, 232.8000, 233.6100
08/27/21, 230.8000, 232.9350, 230.6740, 232.7300
08/26/21, 231.6200, 231.7890, 230.1600, 230.2500
08/25/21, 231.3900, 232.0200, 230.9800, 231.8000
08/24/21, 230.8600, 231.4100, 230.6700, 231.1400
08/23/21, 229.0700, 230.7400, 228.7800, 230.3200
08/20/21, 226.3200, 228.1850, 226.0200, 228.1100
08/19/21, 224.7200, 226.8200, 224.4000, 226.0800
08/18/21, 228.1100, 228.8250, 226.0600, 226.2500
08/17/21, 228.7200, 229.0400, 226.7800, 228.5300
08/16/21, 229.4800, 230.2450, 228.2800, 230.2400
08/13/21, 230.2300, 230.2500, 229.7600, 230.1500
08/12/21, 229.3500, 230.0200, 228.7700, 230.0200
08/11/21, 229.4400, 229.4900, 228.4100, 229.3800
08/10/21, 229.0000, 229.3099, 228.5100, 228.9300
08/09/21, 228.8600, 229.0400, 228.0200, 228.7800
08/06/21, 228.9300, 229.3100, 228.3900, 228.8700
08/05/21, 227.5200, 228.5950, 227.2400, 228.5900
08/04/21, 227.1900, 227.6900, 226.7500, 226.9700
08/03/21, 226.8300, 228.0000, 225.2800, 227.9900
08/02/21, 227.8500, 228.1000, 226.1916, 226.3700
07/30/21, 226.5700, 227.9195, 226.4000, 226.6900
07/29/21, 227.5800, 228.7500, 227.5800, 228.0400
07/28/21, 227.1200, 227.8100, 226.1881, 227.0400
07/27/21, 227.3800, 227.4301, 224.9800, 226.6900
07/26/21, 227.2500, 227.9200, 227.1300, 227.9200
07/23/21, 226.2500, 227.6100, 225.8300, 227.4600
07/22/21, 225.2000, 225.3500, 224.1800, 225.2100
07/21/21, 223.7500, 225.0200, 223.5500, 225.0200
07/20/21, 219.9500, 223.7100, 219.3850, 223.0200
07/19/21, 219.8100, 219.8100, 217.8220, 219.2300
07/16/21, 225.0000, 225.0000, 222.1900, 222.3900
07/15/21, 224.4500, 224.7600, 222.8600, 224.1500
07/14/21, 226.2700, 226.4550, 224.4200, 224.9400
07/13/21, 226.1000, 226.5200, 225.1200, 225.2500
07/12/21, 225.9500, 226.6100, 225.4700, 226.5100
07/09/21, 224.1600, 225.9800, 224.0200, 225.8800
07/08/21, 221.9300, 223.7196, 221.1400, 223.1800
07/07/21, 225.0800, 225.3600, 223.5200, 225.0800
07/06/21, 225.3800, 225.5200, 223.1630, 224.7800
07/02/21, 224.7100, 225.4100, 224.3101, 225.2700
07/01/21, 223.4000, 224.0596, 223.1000, 224.0300
06/30/21, 222.6900, 223.1453, 222.4600, 222.8200
06/29/21, 223.3100, 223.4000, 222.4700, 222.8100
