Date,Close/Last,Volume,Open,High,Low
04/26/2016,70.50,15935,70.38,70.586,70.06
04/25/2016,70.36,26262,70.66,70.66,70.2015
04/22/2016,70.97,79486,71.32,71.7099,70.71
04/21/2016,71.41,85505,71.85,72.07,71.18
04/20/2016,71.93,61652,71.54,72.35,71.34
04/19/2016,72.55,32862,72.17,72.6332,71.97
04/18/2016,71.97,47530,71.34,72.186,71.242
04/15/2016,71.55,40408,71.77,71.8748,71.44
04/14/2016,72.25,32185,72.41,72.41,71.95
04/13/2016,72.45,84162,72.12,72.45,72.05
04/12/2016,70.29,32851,69.74,70.59,69.37
04/11/2016,69.32,82412,69.63,70.10,69.27
04/08/2016,68.57,22919,69.06,69.1066,68.4201
04/07/2016,68.00,41359,68.38,68.48,67.62
04/06/2016,69.02,20557,68.08,69.02,67.90
04/05/2016,67.71,35372,68.28,68.30,67.60
04/04/2016,69.00,99073,69.52,69.80,68.8693
04/01/2016,69.56,38471,68.55,69.71,68.20
03/31/2016,69.79,27832,69.91,70.2665,69.6101
03/30/2016,69.91,28293,70.00,70.43,69.91
03/29/2016,69.13,9276,67.87,69.1738,67.75
03/28/2016,68.24,56426,67.97,68.25,67.96
03/24/2016,67.99,33342,67.41,67.99,67.28
03/23/2016,68.28,32514,68.93,68.93,68.20
03/22/2016,69.31,72069,69.07,69.52,68.96
03/21/2016,69.69,79992,69.55,70.03,69.44
03/18/2016,69.32,26888,69.25,69.57,69.20
03/17/2016,68.61,59650,67.81,68.67,67.81
03/16/2016,68.11,66590,66.54,68.13,66.50
03/15/2016,67.30,35041,67.01,67.3299,66.7474
03/14/2016,67.81,26360,67.69,68.0684,67.60
03/11/2016,67.70,111062,66.76,67.80,66.76
03/10/2016,65.55,353353,66.19,66.46,64.83
03/09/2016,65.96,88103,65.90,66.20,65.67
03/08/2016,65.74,80558,66.21,66.27,65.6567
03/07/2016,67.11,178918,66.76,67.47,66.44
03/04/2016,67.76,53813,66.64,68.03,66.64
03/03/2016,66.19,81995,65.68,66.22,65.668
03/02/2016,66.30,79742,65.86,66.35,65.51
03/01/2016,65.44,109615,64.19,65.44,64.19
02/29/2016,63.21,79595,63.24,63.93,63.11
02/26/2016,63.19,49441,63.86,64.02,63.19
02/25/2016,62.91,50245,62.49,63.05,61.98
02/24/2016,63.43,112878,62.36,63.5765,62.02
02/23/2016,63.38,58031,64.22,64.31,63.31
02/22/2016,64.99,254115,64.34,65.1399,64.34
02/19/2016,63.35,40634,63.25,63.56,62.93
02/18/2016,63.13,62778,63.90,63.949,62.8996
02/17/2016,63.64,40299,62.86,63.73,62.86
02/16/2016,62.52,68101,61.76,62.52,61.76
02/12/2016,59.93,71909,59.02,60.00,58.95
02/11/2016,58.56,90005,58.00,58.92,57.88
02/10/2016,59.56,34579,59.78,60.58,59.54
02/09/2016,59.03,41544,58.79,59.72,58.5801
02/08/2016,59.75,80298,60.15,60.15,58.89
02/05/2016,60.99,60913,62.05,62.096,60.75
02/04/2016,61.82,75810,61.98,62.57,61.5535
02/03/2016,62.27,338299,61.97,62.36,60.58
02/02/2016,61.74,149837,62.97,63.1599,61.48
02/01/2016,63.19,118076,63.00,63.385,62.72
01/29/2016,64.11,187447,63.53,64.11,63.2301
01/28/2016,62.36,127538,63.02,63.28,62.03
01/27/2016,62.09,112975,62.53,63.2628,61.87
01/26/2016,63.13,223150,62.55,63.335,62.4801
01/25/2016,62.78,176166,63.36,63.61,62.76
01/22/2016,64.01,72063,64.18,64.2799,63.50
01/21/2016,62.32,154257,61.85,63.06,61.35
01/20/2016,61.98,131061,61.85,62.57,60.47
01/19/2016,63.76,538061,64.24,64.61,63.2101
01/15/2016,62.37,170148,61.51,63.24,61.00
01/14/2016,65.19,648082,64.10,65.3716,63.45
01/13/2016,64.18,125484,65.95,65.9649,63.89
01/12/2016,65.67,73048,65.75,66.22,65.15
01/11/2016,65.30,101048,65.99,66.065,64.73
01/08/2016,65.79,241036,67.29,67.44,65.79
01/07/2016,66.66,669879,67.53,68.49,66.625
01/06/2016,69.61,232989,69.39,70.11,69.39
01/05/2016,70.88,128889,70.87,71.05,70.6799
01/04/2016,70.75,137788,71.38,71.38,70.1201
12/31/2015,73.49,60355,73.58,74.015,73.365
12/30/2015,73.78,64403,74.08,74.2999,73.71
12/29/2015,74.56,106003,74.39,74.72,74.36
12/28/2015,74.18,72213,74.12,74.1963,73.80
12/24/2015,75.2501,34489,75.04,75.52,75.04
12/23/2015,75.65,91223,75.14,75.65,75.00
12/22/2015,74.44,116582,73.90,74.57,73.77
12/21/2015,74.08,219797,74.09,74.17,73.47
12/18/2015,73.55,181316,73.69,73.89,73.18
12/17/2015,74.62,118469,75.63,75.82,74.62
12/16/2015,75.58,63847,75.19,75.85,74.66
12/15/2015,74.37,56129,74.27,74.87,74.27
12/14/2015,73.20,58278,72.85,73.23,72.22
12/11/2015,72.19,98846,73.04,73.08,72.11
12/10/2015,74.47,44863,74.49,74.95,74.252
12/09/2015,74.99,50104,75.22,75.8813,74.5901
12/08/2015,75.73,135900,75.05,75.73,74.881
12/07/2015,76.71,65426,76.97,77.00,76.41
12/04/2015,77.27,96280,76.37,77.49,76.3179
12/03/2015,76.53,81853,77.53,77.53,76.09
12/02/2015,77.01,83448,77.72,77.72,76.869
12/01/2015,77.60,50293,77.35,77.62,77.17
11/30/2015,77.01,104852,75.87,77.04,75.8401
11/27/2015,75.92,54745,75.93,76.11,75.58
11/25/2015,77.63,197961,77.68,77.80,77.44
11/24/2015,77.69,98980,76.96,77.912,76.8086
11/23/2015,77.76,31980,77.77,78.195,77.6101
11/20/2015,78.09,54220,77.86,78.4114,77.86
11/19/2015,77.02,27835,76.68,77.43,76.68
11/18/2015,76.65,19224,75.68,76.65,75.68
11/17/2015,75.82,19703,76.00,76.40,75.69
11/16/2015,76.24,88050,75.01,76.48,75.01
11/13/2015,74.78,59117,75.65,75.65,74.568
11/12/2015,76.31,34176,76.71,77.1599,76.22
11/11/2015,76.48,84550,77.16,77.16,76.362
11/10/2015,76.57,43340,76.66,76.7448,76.0411
11/09/2015,76.80,146781,77.84,78.0084,76.51
11/06/2015,78.55,42283,77.90,78.59,77.641
11/05/2015,78.86,77019,78.73,79.04,78.355
11/04/2015,78.68,85077,79.40,79.4799,78.3401
11/03/2015,77.83,48875,77.23,78.10,77.23
11/02/2015,77.72,39595,76.88,77.80,76.834
10/30/2015,76.93,127647,77.17,77.216,76.79
10/29/2015,76.77,124713,76.54,76.88,76.34
10/28/2015,77.10,95631,77.72,78.24,76.3801
10/27/2015,77.64,65256,77.44,77.71,77.1668
10/26/2015,77.79,67105,77.51,78.05,77.51
10/23/2015,78.79,60851,78.42,79.06,78.2101
10/22/2015,77.42,37491,76.31,77.55,76.31
10/21/2015,75.35,55999,76.47,76.47,75.25
10/20/2015,76.82,143179,76.77,77.00,76.50
10/19/2015,76.76,39042,76.77,76.9899,76.418
10/16/2015,77.41,48931,76.84,77.41,76.50
10/15/2015,77.17,42766,76.29,77.17,75.916
10/14/2015,74.552,17980,75.19,75.33,74.39
10/13/2015,74.59,20852,74.87,75.40,74.59
10/12/2015,75.42,13638,75.71,75.71,75.22
10/09/2015,75.01,25625,75.26,75.53,74.78
10/08/2015,75.18,39948,74.15,75.346,74.15
10/07/2015,74.73,395452,74.74,75.31,74.05
10/06/2015,72.41,70511,72.38,72.8528,72.11
10/05/2015,73.16,145685,72.61,73.43,72.4701
10/02/2015,72.25,33305,69.76,72.26,69.52
10/01/2015,69.41,27418,69.48,69.65,68.69
09/30/2015,68.95,24552,68.68,69.1764,68.3496
09/29/2015,67.28,44314,66.86,67.55,66.645
09/28/2015,66.99,89840,68.00,68.00,66.76
09/25/2015,68.44,57249,69.43,69.645,68.345
09/24/2015,68.7601,42244,68.13,68.83,67.71
09/23/2015,68.90,80466,69.61,69.70,68.84
09/22/2015,70.17,52932,70.17,70.1852,69.36
09/21/2015,71.21,31881,71.34,71.67,70.99
09/18/2015,70.3099,49150,70.95,71.34,70.122
09/17/2015,71.85,147777,71.38,72.94,70.8701
09/16/2015,72.79,67160,71.77,73.03,71.73
09/15/2015,70.54,29614,69.62,70.64,69.62
09/14/2015,69.71,92722,69.73,69.91,69.14
09/11/2015,70.64,62137,69.90,70.64,69.5199
